TestCase	Operationalization	ModelSize	TGG	ExecutionTime	InitTime	ExecutionRank	InitRank
0306-0227	CC	2000	CompanyToIT	7.869064643E9	1.963913183E9	6	7
0310-0436	CC	2000	CompanyToIT	6.702340958E9	1.980788935E9	3	8
0308-0220	CO	8000	FamiliesToPersons_V1	4.225195045E9	2.32146718E9	2	1
0311-0428	CO	8000	FamiliesToPersons_V1	4.610931885E9	2.323652394E9	5	2
0311-2111	CO	8000	FamiliesToPersons_V1	4.743165114E9	2.356978829E9	7	3
0309-1931	CO	8000	FamiliesToPersons_V1	4.562005333E9	2.357172547E9	3	4
0311-0003	CO	8000	FamiliesToPersons_V1	4.588642705E9	2.365475505E9	4	5
0310-0436	CO	8000	FamiliesToPersons_V1	5.01917942E9	2.394604703E9	8	6
0303-0631	CO	8000	FamiliesToPersons_V1	4.069010418E9	2.420040848E9	1	7
0306-0227	CO	8000	FamiliesToPersons_V1	4.708507879E9	2.463084427E9	6	8
0308-0220	FWD_OPT	2000	ClassInhHier2DB	1.848526627E9	1.634571963E9	4	1
0311-0428	FWD_OPT	2000	ClassInhHier2DB	1.830908929E9	1.644958357E9	1	2
0310-0436	FWD_OPT	2000	ClassInhHier2DB	1.896057378E9	1.645969285E9	7	3
0311-0003	FWD_OPT	2000	ClassInhHier2DB	1.855011281E9	1.67475937E9	5	4
0309-1931	FWD_OPT	2000	ClassInhHier2DB	1.836672163E9	1.67771732E9	3	5
0311-2111	FWD_OPT	2000	ClassInhHier2DB	1.834228658E9	1.702659973E9	2	6
0306-0227	FWD_OPT	2000	ClassInhHier2DB	2.217962885E9	1.710223978E9	8	7
0303-0631	FWD_OPT	2000	ClassInhHier2DB	1.879285969E9	1.714735525E9	6	8
0308-0220	MODELGEN	8000	CompanyToIT	3.394777895E9	1.530437761E9	2	1
0311-0428	MODELGEN	8000	CompanyToIT	3.537264523E9	1.595225714E9	5	2
0311-0003	MODELGEN	8000	CompanyToIT	3.344004817E9	1.59581585E9	1	3
0303-0631	MODELGEN	8000	CompanyToIT	3.412201447E9	1.602175207E9	3	4
0311-2111	MODELGEN	8000	CompanyToIT	3.548374902E9	1.615581558E9	6	5
0309-1931	MODELGEN	8000	CompanyToIT	3.502876272E9	1.615646986E9	4	6
0306-0227	MODELGEN	8000	CompanyToIT	3.64733344E9	1.632462869E9	8	7
0310-0436	MODELGEN	8000	CompanyToIT	3.623553953E9	1.639759601E9	7	8
0310-0436	MODELGEN	4000	ClassInhHier2DB	2.249054927E9	1.43958504E9	8	1
0311-0428	MODELGEN	4000	ClassInhHier2DB	2.202152371E9	1.443762177E9	6	2
0311-0003	MODELGEN	4000	ClassInhHier2DB	2.186958935E9	1.44959255E9	4	3
0308-0220	MODELGEN	4000	ClassInhHier2DB	2.089659192E9	1.468342625E9	1	4
0303-0631	MODELGEN	4000	ClassInhHier2DB	2.189497803E9	1.468540191E9	5	5
0309-1931	MODELGEN	4000	ClassInhHier2DB	2.119071912E9	1.47303891E9	2	6
0311-2111	MODELGEN	4000	ClassInhHier2DB	2.122916777E9	1.473730823E9	3	7
0306-0227	MODELGEN	4000	ClassInhHier2DB	2.239342486E9	1.47579245E9	7	8
0311-2111	MODELGEN	8000	BlockCodeAdapter	7.079490465E9	2.085299028E9	1	1
0311-0003	MODELGEN	8000	BlockCodeAdapter	1.1989005082E10	2.088222767E9	5	2
0303-0631	MODELGEN	8000	BlockCodeAdapter	1.0000317733E10	2.120447186E9	2	3
0311-0428	MODELGEN	8000	BlockCodeAdapter	2.1506271264E10	2.127312862E9	8	4
0306-0227	MODELGEN	8000	BlockCodeAdapter	1.2981424401E10	2.132760075E9	6	5
0308-0220	MODELGEN	8000	BlockCodeAdapter	1.1758004896E10	2.146314814E9	4	6
0310-0436	MODELGEN	8000	BlockCodeAdapter	1.1394821514E10	2.251285042E9	3	7
0309-1931	MODELGEN	8000	BlockCodeAdapter	2.1086371535E10	2.750389148E9	7	8
0308-0220	MODELGEN	1000	FeatureModelConciseToSafe	1.205402395E9	1.741010689E9	1	1
0311-0428	MODELGEN	1000	FeatureModelConciseToSafe	1.372050389E9	1.775725654E9	5	2
0311-2111	MODELGEN	1000	FeatureModelConciseToSafe	1.362402949E9	1.779903218E9	4	3
0309-1931	MODELGEN	1000	FeatureModelConciseToSafe	1.435198791E9	1.786053889E9	8	4
0310-0436	MODELGEN	1000	FeatureModelConciseToSafe	1.357595051E9	1.803172537E9	3	5
0306-0227	MODELGEN	1000	FeatureModelConciseToSafe	1.297211308E9	1.811886451E9	2	6
0311-0003	MODELGEN	1000	FeatureModelConciseToSafe	1.428183014E9	1.812483429E9	7	7
0303-0631	MODELGEN	1000	FeatureModelConciseToSafe	1.381797041E9	1.870633635E9	6	8
0311-2111	INCREMENTAL_BWD	500	FamiliesToPersons_V0	1.0267511E7	3.092493983E9	8	1
0309-1931	INCREMENTAL_BWD	500	FamiliesToPersons_V0	9580302.0	3.152202917E9	6	2
0310-0436	INCREMENTAL_BWD	500	FamiliesToPersons_V0	4610331.0	3.181357347E9	1	3
0311-0003	INCREMENTAL_BWD	500	FamiliesToPersons_V0	9220234.0	3.18960514E9	4	4
0311-0428	INCREMENTAL_BWD	500	FamiliesToPersons_V0	9715007.0	3.191635549E9	7	5
0306-0227	INCREMENTAL_BWD	500	FamiliesToPersons_V0	6072842.0	3.23971966E9	3	6
0303-0631	INCREMENTAL_BWD	500	FamiliesToPersons_V0	9383590.0	3.243117645E9	5	7
0308-0220	INCREMENTAL_BWD	500	FamiliesToPersons_V0	4618455.0	3.357351299E9	2	8
0311-2111	INCREMENTAL_BWD	500	FamiliesToPersons_V1	1.3732208E7	1.785037829E9	8	1
0308-0220	INCREMENTAL_BWD	500	FamiliesToPersons_V1	8386774.0	1.81712797E9	2	2
0311-0003	INCREMENTAL_BWD	500	FamiliesToPersons_V1	1.0539487E7	1.838124838E9	7	3
0311-0428	INCREMENTAL_BWD	500	FamiliesToPersons_V1	8565097.0	1.842631253E9	3	4
0310-0436	INCREMENTAL_BWD	500	FamiliesToPersons_V1	1.0362446E7	1.855256743E9	6	5
0309-1931	INCREMENTAL_BWD	500	FamiliesToPersons_V1	8112660.0	1.865233463E9	1	6
0303-0631	INCREMENTAL_BWD	500	FamiliesToPersons_V1	8613420.0	1.880743777E9	4	7
0306-0227	INCREMENTAL_BWD	500	FamiliesToPersons_V1	1.0058825E7	1.931863239E9	5	8
0309-1931	CC	2000	VHDLTGGCodeAdapter	2.7781748462E10	5.983662641E9	4	1
0303-0631	CC	2000	VHDLTGGCodeAdapter	5.8895670796E10	6.102662283E9	7	2
0310-0436	CC	2000	VHDLTGGCodeAdapter	2.5036280107E10	6.282223991E9	3	3
0308-0220	CC	2000	VHDLTGGCodeAdapter	4.3678928382E10	6.342797176E9	6	4
0311-0003	CC	2000	VHDLTGGCodeAdapter	1.5630962725E10	6.368321841E9	2	5
0311-0428	CC	2000	VHDLTGGCodeAdapter	1.3012563055E10	6.461313164E9	1	6
0306-0227	CC	2000	VHDLTGGCodeAdapter	3.322917333E10	6.534227888E9	5	7
0311-2111	CC	2000	VHDLTGGCodeAdapter	1.5E11	1.5E11	8	8
0311-0428	BWD_OPT	8000	ClassInhHier2DB	2.438745594E9	1.655620575E9	1	1
0311-2111	BWD_OPT	8000	ClassInhHier2DB	2.496424545E9	1.655793768E9	4	2
0310-0436	BWD_OPT	8000	ClassInhHier2DB	2.615775276E9	1.661425717E9	6	3
0308-0220	BWD_OPT	8000	ClassInhHier2DB	2.641830636E9	1.665883382E9	8	4
0309-1931	BWD_OPT	8000	ClassInhHier2DB	2.475953668E9	1.668263597E9	2	5
0311-0003	BWD_OPT	8000	ClassInhHier2DB	2.631996746E9	1.690629324E9	7	6
0306-0227	BWD_OPT	8000	ClassInhHier2DB	2.546270084E9	1.717135839E9	5	7
0303-0631	BWD_OPT	8000	ClassInhHier2DB	2.48988045E9	1.735336831E9	3	8
0309-1931	INCREMENTAL_BWD	4000	BlockCodeAdapter	2.96131102E8	4.733689154E9	3	1
0311-0428	INCREMENTAL_BWD	4000	BlockCodeAdapter	6.63570306E8	4.855101512E9	6	2
0303-0631	INCREMENTAL_BWD	4000	BlockCodeAdapter	4.60207727E8	4.888698639E9	5	3
0306-0227	INCREMENTAL_BWD	4000	BlockCodeAdapter	2.38897745E8	4.90249542E9	1	4
0311-0003	INCREMENTAL_BWD	4000	BlockCodeAdapter	1.34980269E9	4.965724216E9	7	5
0310-0436	INCREMENTAL_BWD	4000	BlockCodeAdapter	3.91865274E8	4.974120826E9	4	6
0311-2111	INCREMENTAL_BWD	4000	BlockCodeAdapter	2.64501523E8	5.098595048E9	2	7
0308-0220	INCREMENTAL_BWD	4000	BlockCodeAdapter	1.5E11	1.5E11	8	8
0311-0003	INCREMENTAL_FWD	4000	FamiliesToPersons_V0	7286469.0	3.16248283E9	6	1
0311-0428	INCREMENTAL_FWD	4000	FamiliesToPersons_V0	8184074.0	3.170274336E9	7	2
0310-0436	INCREMENTAL_FWD	4000	FamiliesToPersons_V0	7103014.0	3.195054061E9	4	3
0311-2111	INCREMENTAL_FWD	4000	FamiliesToPersons_V0	7259101.0	3.206213619E9	5	4
0309-1931	INCREMENTAL_FWD	4000	FamiliesToPersons_V0	6955480.0	3.223837731E9	3	5
0303-0631	INCREMENTAL_FWD	4000	FamiliesToPersons_V0	6064716.0	3.237502801E9	2	6
0308-0220	INCREMENTAL_FWD	4000	FamiliesToPersons_V0	5729879.0	3.303465039E9	1	7
0306-0227	INCREMENTAL_FWD	4000	FamiliesToPersons_V0	9973726.0	3.325684088E9	8	8
0308-0220	INCREMENTAL_FWD	4000	FamiliesToPersons_V1	5956952.0	1.877374442E9	4	1
0311-0428	INCREMENTAL_FWD	4000	FamiliesToPersons_V1	5643496.0	1.898885755E9	3	2
0306-0227	INCREMENTAL_FWD	4000	FamiliesToPersons_V1	3445454.0	1.908331779E9	2	3
0311-2111	INCREMENTAL_FWD	4000	FamiliesToPersons_V1	7865915.0	1.908815007E9	5	4
0310-0436	INCREMENTAL_FWD	4000	FamiliesToPersons_V1	9494775.0	1.915729434E9	8	5
0309-1931	INCREMENTAL_FWD	4000	FamiliesToPersons_V1	3086668.0	1.916020225E9	1	6
0311-0003	INCREMENTAL_FWD	4000	FamiliesToPersons_V1	8017297.0	1.935963829E9	6	7
0303-0631	INCREMENTAL_FWD	4000	FamiliesToPersons_V1	8131476.0	1.961018951E9	7	8
0311-2111	INCREMENTAL_FWD	500	ClassInhHier2DB	6953342.0	1.81552605E9	1	1
0311-0428	INCREMENTAL_FWD	500	ClassInhHier2DB	8482563.0	1.825398427E9	2	2
0309-1931	INCREMENTAL_FWD	500	ClassInhHier2DB	1.027863E7	1.839113102E9	4	3
0308-0220	INCREMENTAL_FWD	500	ClassInhHier2DB	1.0287183E7	1.840126169E9	5	4
0310-0436	INCREMENTAL_FWD	500	ClassInhHier2DB	1.0971825E7	1.849416963E9	6	5
0306-0227	INCREMENTAL_FWD	500	ClassInhHier2DB	9586289.0	1.86807809E9	3	6
0311-0003	INCREMENTAL_FWD	500	ClassInhHier2DB	1.4518629E7	1.87117502E9	7	7
0303-0631	INCREMENTAL_FWD	500	ClassInhHier2DB	1.6214628E7	1.899943724E9	8	8
0311-0428	INCREMENTAL_BWD	500	ClassInhHier2DB	2.1440753E7	1.76273026E9	7	1
0309-1931	INCREMENTAL_BWD	500	ClassInhHier2DB	1.559413E7	1.775098313E9	5	2
0303-0631	INCREMENTAL_BWD	500	ClassInhHier2DB	1.4409582E7	1.79892869E9	3	3
0310-0436	INCREMENTAL_BWD	500	ClassInhHier2DB	1.549834E7	1.799605636E9	4	4
0308-0220	INCREMENTAL_BWD	500	ClassInhHier2DB	7552458.0	1.802695724E9	1	5
0311-0003	INCREMENTAL_BWD	500	ClassInhHier2DB	2.3899226E7	1.804613666E9	8	6
0311-2111	INCREMENTAL_BWD	500	ClassInhHier2DB	1.1579495E7	1.84519022E9	2	7
0306-0227	INCREMENTAL_BWD	500	ClassInhHier2DB	1.9863636E7	1.850716973E9	6	8
0309-1931	MODELGEN	4000	ClassInhHier2DB_MA	9.5748852228E10	1.81557138E9	5	1
0310-0436	MODELGEN	4000	ClassInhHier2DB_MA	7.3709639829E10	1.834301784E9	1	2
0306-0227	MODELGEN	4000	ClassInhHier2DB_MA	8.5295765902E10	1.84969407E9	3	3
0311-2111	MODELGEN	4000	ClassInhHier2DB_MA	8.9321961954E10	1.853027056E9	4	4
0303-0631	MODELGEN	4000	ClassInhHier2DB_MA	7.5848313665E10	1.879835481E9	2	5
0311-0428	MODELGEN	4000	ClassInhHier2DB_MA	1.5E11	1.5E11	8	8
0308-0220	MODELGEN	4000	ClassInhHier2DB_MA	1.5E11	1.5E11	8	8
0311-0003	MODELGEN	4000	ClassInhHier2DB_MA	1.5E11	1.5E11	8	8
0309-1931	BWD	8000	CompanyToIT	5.144397856E10	2.566662704E9	5	1
0311-2111	BWD	8000	CompanyToIT	5.7050646498E10	2.585646695E9	7	2
0311-0428	BWD	8000	CompanyToIT	4.9736756579E10	2.630891738E9	3	3
0308-0220	BWD	8000	CompanyToIT	5.0809779922E10	2.648198546E9	4	4
0303-0631	BWD	8000	CompanyToIT	4.2295720574E10	2.681673369E9	2	5
0311-0003	BWD	8000	CompanyToIT	5.2056774077E10	2.700124527E9	6	6
0306-0227	BWD	8000	CompanyToIT	6.2304304058E10	2.700830553E9	8	7
0310-0436	BWD	8000	CompanyToIT	3.5404729385E10	2.735363344E9	1	8
0308-0220	FWD_OPT	8000	FeatureModelConciseToSafe	6.146253235E9	2.036675242E9	1	1
0311-0428	FWD_OPT	8000	FeatureModelConciseToSafe	2.3706991487E10	2.057007993E9	4	2
0311-2111	FWD_OPT	8000	FeatureModelConciseToSafe	2.3972385483E10	2.074012463E9	6	3
0310-0436	FWD_OPT	8000	FeatureModelConciseToSafe	2.4361604554E10	2.07520984E9	8	4
0309-1931	FWD_OPT	8000	FeatureModelConciseToSafe	1.8014289417E10	2.078500063E9	2	5
0311-0003	FWD_OPT	8000	FeatureModelConciseToSafe	2.3831684659E10	2.086141896E9	5	6
0306-0227	FWD_OPT	8000	FeatureModelConciseToSafe	2.4187332687E10	2.106692741E9	7	7
0303-0631	FWD_OPT	8000	FeatureModelConciseToSafe	1.8983633561E10	2.160724396E9	3	8
0311-0003	MODELGEN	2000	ClassInhHier2DB	1.497222084E9	1.422985969E9	6	1
0311-0428	MODELGEN	2000	ClassInhHier2DB	1.487970634E9	1.433516902E9	4	2
0308-0220	MODELGEN	2000	ClassInhHier2DB	1.486191245E9	1.444903106E9	3	3
0311-2111	MODELGEN	2000	ClassInhHier2DB	1.45744649E9	1.45930157E9	1	4
0303-0631	MODELGEN	2000	ClassInhHier2DB	1.51726105E9	1.464873651E9	7	5
0309-1931	MODELGEN	2000	ClassInhHier2DB	1.483311553E9	1.472094692E9	2	6
0310-0436	MODELGEN	2000	ClassInhHier2DB	1.52846722E9	1.480172285E9	8	7
0306-0227	MODELGEN	2000	ClassInhHier2DB	1.491153947E9	1.50398299E9	5	8
0303-0631	INCREMENTAL_FWD	8000	BlockDiagramCodeAdapter	1.5E11	3.266013639E9	8	1
0311-0428	INCREMENTAL_FWD	8000	BlockDiagramCodeAdapter	1.5E11	3.28481888E9	8	2
0311-2111	INCREMENTAL_FWD	8000	BlockDiagramCodeAdapter	1.5E11	3.33647032E9	8	3
0309-1931	INCREMENTAL_FWD	8000	BlockDiagramCodeAdapter	1.5E11	1.5E11	8	8
0306-0227	INCREMENTAL_FWD	8000	BlockDiagramCodeAdapter	1.5E11	1.5E11	8	8
0308-0220	INCREMENTAL_FWD	8000	BlockDiagramCodeAdapter	1.5E11	1.5E11	8	8
0310-0436	INCREMENTAL_FWD	8000	BlockDiagramCodeAdapter	1.5E11	1.5E11	8	8
0311-0003	INCREMENTAL_FWD	8000	BlockDiagramCodeAdapter	1.5E11	1.5E11	8	8
0311-0003	BWD_OPT	4000	FeatureModelConciseToSafe	6.608272852E9	1.945015147E9	4	1
0308-0220	BWD_OPT	4000	FeatureModelConciseToSafe	3.395956457E9	1.95507269E9	1	2
0311-0428	BWD_OPT	4000	FeatureModelConciseToSafe	6.432990912E9	1.974390235E9	3	3
0310-0436	BWD_OPT	4000	FeatureModelConciseToSafe	6.908126515E9	1.984502943E9	8	4
0309-1931	BWD_OPT	4000	FeatureModelConciseToSafe	6.624106885E9	2.001091324E9	5	5
0311-2111	BWD_OPT	4000	FeatureModelConciseToSafe	6.336342457E9	2.007259956E9	2	6
0306-0227	BWD_OPT	4000	FeatureModelConciseToSafe	6.631342892E9	2.01119163E9	6	7
0303-0631	BWD_OPT	4000	FeatureModelConciseToSafe	6.776985893E9	2.038106964E9	7	8
0310-0436	BWD	8000	VHDLTGGCodeAdapter	1.2198996555E11	1.4693343523E10	1	1
0311-0428	BWD	8000	VHDLTGGCodeAdapter	1.38199424917E11	1.495731264E10	2	2
0309-1931	BWD	8000	VHDLTGGCodeAdapter	1.5E11	1.5E11	8	8
0303-0631	BWD	8000	VHDLTGGCodeAdapter	1.5E11	1.5E11	8	8
0311-2111	BWD	8000	VHDLTGGCodeAdapter	1.5E11	1.5E11	8	8
0306-0227	BWD	8000	VHDLTGGCodeAdapter	1.5E11	1.5E11	8	8
0308-0220	BWD	8000	VHDLTGGCodeAdapter	1.5E11	1.5E11	8	8
0311-0003	BWD	8000	VHDLTGGCodeAdapter	1.5E11	1.5E11	8	8
0308-0220	MODELGEN	8000	BlockDiagramCodeAdapter	1.2546427881E10	1.762226934E9	1	1
0311-2111	MODELGEN	8000	BlockDiagramCodeAdapter	2.2680087271E10	1.768241189E9	6	2
0311-0003	MODELGEN	8000	BlockDiagramCodeAdapter	2.1512712299E10	1.792034362E9	4	3
0311-0428	MODELGEN	8000	BlockDiagramCodeAdapter	2.575589067E10	1.806906216E9	7	4
0309-1931	MODELGEN	8000	BlockDiagramCodeAdapter	1.4199699458E10	1.816952213E9	2	5
0306-0227	MODELGEN	8000	BlockDiagramCodeAdapter	2.911847579E10	1.83221963E9	8	6
0303-0631	MODELGEN	8000	BlockDiagramCodeAdapter	1.4991610233E10	1.837104929E9	3	7
0310-0436	MODELGEN	8000	BlockDiagramCodeAdapter	2.2106072243E10	1.904123853E9	5	8
0311-0428	BWD	500	ClassInhHier2DB	9.27749392E8	1.76273026E9	4	1
0309-1931	BWD	500	ClassInhHier2DB	9.57017145E8	1.775098313E9	5	2
0303-0631	BWD	500	ClassInhHier2DB	9.17772673E8	1.79892869E9	3	3
0310-0436	BWD	500	ClassInhHier2DB	1.036639748E9	1.799605636E9	7	4
0308-0220	BWD	500	ClassInhHier2DB	1.012255158E9	1.802695724E9	6	5
0311-0003	BWD	500	ClassInhHier2DB	8.84238836E8	1.804613666E9	1	6
0311-2111	BWD	500	ClassInhHier2DB	9.14439259E8	1.84519022E9	2	7
0306-0227	BWD	500	ClassInhHier2DB	1.081782587E9	1.850716973E9	8	8
0308-0220	CO	1000	ProcessCodeAdapter	2.561214594E10	2.456558721E9	4	1
0309-1931	CO	1000	ProcessCodeAdapter	3.0633332677E10	2.545843732E9	6	2
0306-0227	CO	1000	ProcessCodeAdapter	4.0648592397E10	2.556912203E9	7	3
0303-0631	CO	1000	ProcessCodeAdapter	2.7688035291E10	2.593981297E9	5	4
0310-0436	CO	1000	ProcessCodeAdapter	2.0113197494E10	2.602780738E9	2	5
0311-2111	CO	1000	ProcessCodeAdapter	1.5213701931E10	2.615804783E9	1	6
0311-0003	CO	1000	ProcessCodeAdapter	4.3040676193E10	2.624729949E9	8	7
0311-0428	CO	1000	ProcessCodeAdapter	2.2587158383E10	2.671315199E9	3	8
0311-2111	CC	4000	VHDLTGGCodeAdapter	1.12834209843E11	6.097865504E9	2	1
0310-0436	CC	4000	VHDLTGGCodeAdapter	1.00013835696E11	6.626245914E9	1	2
0308-0220	CC	4000	VHDLTGGCodeAdapter	1.28009130858E11	6.723726974E9	3	3
0311-0428	CC	4000	VHDLTGGCodeAdapter	1.5E11	1.5E11	8	8
0309-1931	CC	4000	VHDLTGGCodeAdapter	1.5E11	1.5E11	8	8
0303-0631	CC	4000	VHDLTGGCodeAdapter	1.5E11	1.5E11	8	8
0306-0227	CC	4000	VHDLTGGCodeAdapter	1.5E11	1.5E11	8	8
0311-0003	CC	4000	VHDLTGGCodeAdapter	1.5E11	1.5E11	8	8
0308-0220	INCREMENTAL_FWD	8000	BlockCodeAdapter	1.5E11	4.892291199E9	8	1
0310-0436	INCREMENTAL_FWD	8000	BlockCodeAdapter	8.37507761E8	4.909036094E9	3	2
0309-1931	INCREMENTAL_FWD	8000	BlockCodeAdapter	1.5E11	4.948439219E9	8	3
0311-0003	INCREMENTAL_FWD	8000	BlockCodeAdapter	3.41412923E8	5.035971783E9	1	4
0311-2111	INCREMENTAL_FWD	8000	BlockCodeAdapter	6.76905669E8	5.294441945E9	2	5
0311-0428	INCREMENTAL_FWD	8000	BlockCodeAdapter	1.5E11	1.5E11	8	8
0303-0631	INCREMENTAL_FWD	8000	BlockCodeAdapter	1.5E11	1.5E11	8	8
0306-0227	INCREMENTAL_FWD	8000	BlockCodeAdapter	1.5E11	1.5E11	8	8
0311-0003	FWD_OPT	2000	ProcessCodeAdapter	2.599118474E9	2.403688521E9	4	1
0311-0428	FWD_OPT	2000	ProcessCodeAdapter	2.592869874E9	2.611143564E9	3	2
0308-0220	FWD_OPT	2000	ProcessCodeAdapter	2.569518877E9	2.612522686E9	1	3
0306-0227	FWD_OPT	2000	ProcessCodeAdapter	3.06670333E9	2.626783451E9	8	4
0311-2111	FWD_OPT	2000	ProcessCodeAdapter	2.716303234E9	2.667698692E9	6	5
0303-0631	FWD_OPT	2000	ProcessCodeAdapter	2.576630016E9	2.67925766E9	2	6
0309-1931	FWD_OPT	2000	ProcessCodeAdapter	2.763774544E9	2.706365857E9	7	7
0310-0436	FWD_OPT	2000	ProcessCodeAdapter	2.699559622E9	2.733327375E9	5	8
0309-1931	CC	2000	BlockDiagramCodeAdapter	3.391326454E9	2.323728942E9	1	1
0311-0003	CC	2000	BlockDiagramCodeAdapter	4.455437889E9	2.33940646E9	8	2
0308-0220	CC	2000	BlockDiagramCodeAdapter	3.504124537E9	2.344662091E9	2	3
0310-0436	CC	2000	BlockDiagramCodeAdapter	3.728261614E9	2.358800553E9	3	4
0311-2111	CC	2000	BlockDiagramCodeAdapter	4.397060182E9	2.364535991E9	6	5
0303-0631	CC	2000	BlockDiagramCodeAdapter	4.334217967E9	2.37953913E9	4	6
0311-0428	CC	2000	BlockDiagramCodeAdapter	4.363998454E9	2.39936043E9	5	7
0306-0227	CC	2000	BlockDiagramCodeAdapter	4.414854493E9	2.402677592E9	7	8
0311-2111	BWD	4000	CompanyToIT	1.9945489821E10	2.531550895E9	3	1
0309-1931	BWD	4000	CompanyToIT	2.1129948376E10	2.534946742E9	6	2
0311-0003	BWD	4000	CompanyToIT	2.1438809311E10	2.58761467E9	7	3
0308-0220	BWD	4000	CompanyToIT	2.2200383674E10	2.597404086E9	8	4
0311-0428	BWD	4000	CompanyToIT	1.5034572562E10	2.625477027E9	1	5
0310-0436	BWD	4000	CompanyToIT	2.0975614126E10	2.637721921E9	5	6
0303-0631	BWD	4000	CompanyToIT	1.9580267477E10	2.697620726E9	2	7
0306-0227	BWD	4000	CompanyToIT	2.0747834885E10	2.718339631E9	4	8
0308-0220	BWD_OPT	2000	FeatureModelConciseToSafe	2.137920771E9	1.893320088E9	1	1
0311-2111	BWD_OPT	2000	FeatureModelConciseToSafe	2.978538721E9	1.901225345E9	8	2
0309-1931	BWD_OPT	2000	FeatureModelConciseToSafe	2.853554757E9	1.916755329E9	5	3
0306-0227	BWD_OPT	2000	FeatureModelConciseToSafe	2.590218966E9	1.916932798E9	2	4
0310-0436	BWD_OPT	2000	FeatureModelConciseToSafe	2.904082373E9	1.927555674E9	6	5
0311-0428	BWD_OPT	2000	FeatureModelConciseToSafe	2.805800353E9	1.932780516E9	4	6
0303-0631	BWD_OPT	2000	FeatureModelConciseToSafe	2.775015352E9	1.951709769E9	3	7
0311-0003	BWD_OPT	2000	FeatureModelConciseToSafe	2.936536004E9	1.957926724E9	7	8
0308-0220	FWD_OPT	4000	FeatureModelConciseToSafe	3.332851674E9	1.948041091E9	1	1
0311-0428	FWD_OPT	4000	FeatureModelConciseToSafe	6.489141069E9	1.963264462E9	3	2
0311-2111	FWD_OPT	4000	FeatureModelConciseToSafe	6.408129509E9	1.99516174E9	2	3
0303-0631	FWD_OPT	4000	FeatureModelConciseToSafe	6.745014634E9	2.007200087E9	5	4
0309-1931	FWD_OPT	4000	FeatureModelConciseToSafe	6.617645323E9	2.0294217E9	4	5
0311-0003	FWD_OPT	4000	FeatureModelConciseToSafe	6.77383508E9	2.038087292E9	6	6
0310-0436	FWD_OPT	4000	FeatureModelConciseToSafe	7.059002055E9	2.043091474E9	8	7
0306-0227	FWD_OPT	4000	FeatureModelConciseToSafe	7.033184887E9	2.076278927E9	7	8
0310-0436	BWD_OPT	500	ProcessCodeAdapter	1.217567751E9	2.343732841E9	8	1
0311-0003	BWD_OPT	500	ProcessCodeAdapter	1.138211135E9	2.353526533E9	2	2
0309-1931	BWD_OPT	500	ProcessCodeAdapter	1.099180481E9	2.364672406E9	1	3
0308-0220	BWD_OPT	500	ProcessCodeAdapter	1.188684014E9	2.366177253E9	6	4
0306-0227	BWD_OPT	500	ProcessCodeAdapter	1.186252055E9	2.409074581E9	5	5
0311-0428	BWD_OPT	500	ProcessCodeAdapter	1.175503454E9	2.470251586E9	4	6
0311-2111	BWD_OPT	500	ProcessCodeAdapter	1.173759132E9	2.531876325E9	3	7
0303-0631	BWD_OPT	500	ProcessCodeAdapter	1.202209247E9	2.582665226E9	7	8
0309-1931	INCREMENTAL_BWD	500	BlockDiagramCodeAdapter	1.3794643E7	3.187283082E9	1	1
0311-0003	INCREMENTAL_BWD	500	BlockDiagramCodeAdapter	1.536278E7	3.195165247E9	2	2
0306-0227	INCREMENTAL_BWD	500	BlockDiagramCodeAdapter	1.7860167E7	3.218589797E9	6	3
0303-0631	INCREMENTAL_BWD	500	BlockDiagramCodeAdapter	1.8299775E7	3.231832364E9	7	4
0311-0428	INCREMENTAL_BWD	500	BlockDiagramCodeAdapter	1.5573176E7	3.255947972E9	3	5
0311-2111	INCREMENTAL_BWD	500	BlockDiagramCodeAdapter	1.6054265E7	3.292232356E9	5	6
0310-0436	INCREMENTAL_BWD	500	BlockDiagramCodeAdapter	1.5609097E7	3.360341749E9	4	7
0308-0220	INCREMENTAL_BWD	500	BlockDiagramCodeAdapter	1.8975011E7	3.365599518E9	8	8
0311-2111	MODELGEN	4000	FamiliesToPersons_V0	3.402443676E9	2.144716315E9	6	1
0309-1931	MODELGEN	4000	FamiliesToPersons_V0	2.835517977E9	2.157810065E9	4	2
0311-0428	MODELGEN	4000	FamiliesToPersons_V0	3.025862497E9	2.160825746E9	5	3
0310-0436	MODELGEN	4000	FamiliesToPersons_V0	2.735806802E9	2.161142196E9	1	4
0308-0220	MODELGEN	4000	FamiliesToPersons_V0	3.667603757E9	2.19025942E9	7	5
0306-0227	MODELGEN	4000	FamiliesToPersons_V0	2.769249124E9	2.211161781E9	2	6
0311-0003	MODELGEN	4000	FamiliesToPersons_V0	2.820329672E9	2.231971772E9	3	7
0303-0631	MODELGEN	4000	FamiliesToPersons_V0	1.3532077313E10	2.23232671E9	8	8
0306-0227	MODELGEN	2000	ClassInhHier2DB_MA	3.0479739946E10	1.814712262E9	7	1
0311-2111	MODELGEN	2000	ClassInhHier2DB_MA	1.4108365648E10	1.825785437E9	1	2
0308-0220	MODELGEN	2000	ClassInhHier2DB_MA	3.2804822779E10	1.834765768E9	8	3
