TestCase	Operationalization	ModelSize	TGG	ExecutionTime	InitTime	ExecutionRank	InitRank
0311-2111	MODELGEN	1000	VHDLTGGCodeAdapter	1.297510653E9	3.383154782E9	2	2
0308-0220	MODELGEN	1000	VHDLTGGCodeAdapter	1.343095666E9	3.424305222E9	4	3
0303-0631	MODELGEN	1000	VHDLTGGCodeAdapter	1.53528714E9	3.437310451E9	8	4
0311-0428	MODELGEN	1000	VHDLTGGCodeAdapter	1.225289979E9	3.48940321E9	1	5
0311-0003	MODELGEN	1000	VHDLTGGCodeAdapter	1.321979059E9	3.545706461E9	3	6
0309-1931	MODELGEN	1000	VHDLTGGCodeAdapter	1.430954943E9	3.569650161E9	6	7
0310-0436	MODELGEN	1000	VHDLTGGCodeAdapter	1.387345603E9	3.661206341E9	5	8
0303-0631	FWD_OPT	4000	BlockCodeAdapter	2.7878789058E10	2.742707116E9	7	1
0311-2111	FWD_OPT	4000	BlockCodeAdapter	1.4604388645E10	2.751447116E9	4	2
0311-0428	FWD_OPT	4000	BlockCodeAdapter	1.8736183548E10	2.766795784E9	5	3
0306-0227	FWD_OPT	4000	BlockCodeAdapter	2.3255926591E10	2.77539894E9	6	4
0310-0436	FWD_OPT	4000	BlockCodeAdapter	6.927977322E9	2.82045497E9	1	5
0311-0003	FWD_OPT	4000	BlockCodeAdapter	1.3823190976E10	2.879779888E9	3	6
0309-1931	FWD_OPT	4000	BlockCodeAdapter	8.240938847E9	2.896868174E9	2	7
0308-0220	FWD_OPT	4000	BlockCodeAdapter	3.1297774503E10	2.966449486E9	8	8
0308-0220	BWD_OPT	500	CompanyToIT	1.047405026E9	1.696222787E9	6	1
0309-1931	BWD_OPT	500	CompanyToIT	1.024799396E9	1.772946455E9	3	2
0306-0227	BWD_OPT	500	CompanyToIT	1.013404213E9	1.776124209E9	1	3
0311-2111	BWD_OPT	500	CompanyToIT	1.02255132E9	1.787518538E9	2	4
0311-0428	BWD_OPT	500	CompanyToIT	1.052728652E9	1.790901557E9	7	5
0303-0631	BWD_OPT	500	CompanyToIT	1.025818878E9	1.808762579E9	4	6
0310-0436	BWD_OPT	500	CompanyToIT	1.036162508E9	1.823109298E9	5	7
0311-0003	BWD_OPT	500	CompanyToIT	1.073505716E9	1.832876477E9	8	8
0308-0220	CO	1000	FamiliesToPersons_V1	1.225722317E9	1.857666893E9	1	1
0311-2111	CO	1000	FamiliesToPersons_V1	1.302489604E9	1.867411835E9	4	2
0310-0436	CO	1000	FamiliesToPersons_V1	1.356282639E9	1.899031151E9	6	3
0311-0003	CO	1000	FamiliesToPersons_V1	1.372924902E9	1.908717506E9	8	4
0303-0631	CO	1000	FamiliesToPersons_V1	1.369787774E9	1.915065317E9	7	5
0306-0227	CO	1000	FamiliesToPersons_V1	1.300205179E9	1.921673557E9	3	6
0309-1931	CO	1000	FamiliesToPersons_V1	1.276027136E9	1.92483335E9	2	7
0311-0428	CO	1000	FamiliesToPersons_V1	1.304298072E9	1.95256119E9	5	8
0308-0220	BWD_OPT	8000	ProcessCodeAdapter	6.488176754E9	2.441136499E9	5	1
0309-1931	BWD_OPT	8000	ProcessCodeAdapter	5.892747058E9	2.459848942E9	1	2
0311-0428	BWD_OPT	8000	ProcessCodeAdapter	6.706143486E9	2.462735477E9	8	3
0310-0436	BWD_OPT	8000	ProcessCodeAdapter	6.395376583E9	2.504565429E9	4	4
0311-0003	BWD_OPT	8000	ProcessCodeAdapter	6.065267332E9	2.607818276E9	2	5
0311-2111	BWD_OPT	8000	ProcessCodeAdapter	6.703327084E9	2.646676594E9	7	6
0303-0631	BWD_OPT	8000	ProcessCodeAdapter	6.38582921E9	2.667959122E9	3	7
0306-0227	BWD_OPT	8000	ProcessCodeAdapter	6.644044501E9	2.69723842E9	6	8
0311-0003	FWD_OPT	2000	BlockCodeAdapter	4.066798692E9	2.729925968E9	3	1
0303-0631	FWD_OPT	2000	BlockCodeAdapter	5.811800068E9	2.778061822E9	6	2
0311-2111	FWD_OPT	2000	BlockCodeAdapter	5.63667336E9	2.802049141E9	5	3
0310-0436	FWD_OPT	2000	BlockCodeAdapter	3.850108876E9	2.808058265E9	2	4
0311-0428	FWD_OPT	2000	BlockCodeAdapter	6.356202244E9	2.815373385E9	7	5
0309-1931	FWD_OPT	2000	BlockCodeAdapter	3.515806237E9	2.863065355E9	1	6
0306-0227	FWD_OPT	2000	BlockCodeAdapter	4.119098854E9	2.940384718E9	4	7
0308-0220	FWD_OPT	2000	BlockCodeAdapter	6.814973119E9	2.956646813E9	8	8
0311-0428	BWD_OPT	500	FamiliesToPersons_V1	1.33475078728E11	1.55314303E9	4	1
0303-0631	BWD_OPT	500	FamiliesToPersons_V1	1.21395933792E11	1.588990371E9	2	2
0306-0227	BWD_OPT	500	FamiliesToPersons_V1	7.6418521461E10	1.590274131E9	1	3
0311-0003	BWD_OPT	500	FamiliesToPersons_V1	1.32360266912E11	1.641384186E9	3	4
0309-1931	BWD_OPT	500	FamiliesToPersons_V1	1.45027842446E11	1.646284024E9	5	5
0311-2111	BWD_OPT	500	FamiliesToPersons_V1	1.5E11	1.5E11	8	8
0308-0220	BWD_OPT	500	FamiliesToPersons_V1	1.5E11	1.5E11	8	8
0310-0436	BWD_OPT	500	FamiliesToPersons_V1	1.5E11	1.5E11	8	8
0308-0220	FWD_OPT	2000	CompanyToIT	1.15126031669E11	1.752869857E9	1	1
